127.0.0.1 - - [09/Oct/2025:09:57:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Oct/2025:09:57:23 +0530] "GET /MvcDesignPattern/ HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [09/Oct/2025:09:57:23 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:09:57:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:48 +0530] "POST /MvcDesignPattern/adminLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:50 +0530] "GET /MvcDesignPattern/dashboard.jsp HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:50 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:58 +0530] "POST /MvcDesignPattern/deleteUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:58 +0530] "GET /MvcDesignPattern/dashboard.jsp HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:09:58 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:06 +0530] "GET /MvcDesignPattern/register.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:06 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:30 +0530] "POST /MvcDesignPattern/regForm HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:30 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:43 +0530] "POST /MvcDesignPattern/loginForm HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:43 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:54 +0530] "GET /MvcDesignPattern/Logout HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [09/Oct/2025:10:10:54 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:11:17:54 +0530] "GET /MvcDesignPattern/ HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [09/Oct/2025:11:17:54 +0530] "GET /MvcDesignPattern/assets/css/style.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:11:17:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
